Tarih,Kahvaltı1,Kahvaltı2,Kahvaltı3,Kahvaltı4,SabitKahvaltı1,SabitKahvaltı2,SabitKahvaltı3,SabitKahvaltı4,Çorba1,Çorba2,AnaYemek1,AnaYemek2,PilavMakarna,SalataMeze,TatlıMeyve,ÇeyrekEkmek,Su
16-12-2025,Karışık Kızartma,Haşlanmış Yumurta,Kaşar Peyniri,Reçel Çeşitleri,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Tarhana Çorbası,Anadolu Çorbası,Fırında Patates + Sotelenmiş Patates,Ispanak Graten,Şehriye Pilavı,Marul Salata,-,Çeyrek Ekmek,500 mL Su
08-12-2025,Patates Kızartması,Haşlanmış Yumurta,Beyaz Peynir,Tahinli Pekmez,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Kremalı Sebze Çorbası,Mercimek Çorbası,Balaban Kebabı (Tereyağı Sosu ile),İmambayıldı,Pirinç Pilavı,Revani,-,Çeyrek Ekmek,500 mL Su
09-12-2025,Sade Omlet,Dereotlu Poğaça,Kaşar Peyniri,Domates-Salatalık-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Düğün Çorbası,Tarhana Çorbası,Köri Soslu Tavuk,Taze Fasulye,Spagetti Napoliten,Karışık Salata,-,Çeyrek Ekmek,500 mL Su
10-12-2025,Karışık Pizza,Haşlanmış Yumurta,Beyaz Peynir,Reçel Çeşitleri,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Domates Çorbası,Kış Çorbası,Et Tantuni,Kabak Kalye,Bulgur Pilavı,Kabak Tatlısı (Tahinli-Cevizli),-,Çeyrek Ekmek,500 mL Su
11-12-2025,Patatesli Yumurta,Simit,Krem Peynir,Sürülebilir Çikolata,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mahluta Çorbası,Yayla Çorbası,Tavuk Fajita,Etsiz Türlü,Pesto Soslu Makarna,Acılı Ezme,-,Çeyrek Ekmek,500 mL Su
12-12-2025,Peynirli Börek,Haşlanmış Yumurta,Dil Peyniri,Helva,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mercimek Çorbası,Cennet Çorbası,Barbunya Yemeği,Fırında Kızartılmış Kızartma,Mısırlı Pirinç Pilavı,Ege Salata,Yoğurt,Çeyrek Ekmek,500 mL Su
17-12-2025,Sade Omlet,Peynirli Milföy Böreği,Çeçil Peyniri,Domates-Salatalık-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Tutmaç Çorbası,Pirinç Çorbası,Hamburger,Kabak Mücver,Salçalı Makarna,Ayran,-,Çeyrek Ekmek,500 mL Su
18-12-2025,Sosis Kokteyl (Salçalı veya Kızartmalı),Haşlanmış Yuöurta,Beyaz Peynir,Muz,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mercimek Çorbası,Düğün Çorbası,Tavuk Kalamar + Soğan Mezesi,Patlıcan Çığırtma,Nohutlu Pirinç Pilavı,Cevizli Muhallebi,-,Çeyrek Ekmek,500 mL Su
19-12-2025,Peynirli Omlet,Havuçlu Tarçınlı Kek,Kaşar Peyniri,Sürülebilir Çikolata,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Ezogelin Çorbası,Roka Çorbası,Kuşbaşılı Patates Yemeği,Domates Soslu Sebze Kızartma,Şehriyeli Bulgur Pilavı,Çoban Salata,-,Çeyrek Ekmek,500 mL Su
20-12-2025,Patates Kızartması,Haşlanmış Yumurta,Beyaz Peynir,Domates-Salatalık-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Çeşmi Nigar Çorbası,Tarhana Çorbası,Beşamel Soslu Tavuk + Köz Domates/Biber,Lahana Sarma,Salçalı Spagetti,Şakşuka,-,Çeyrek Ekmek,500 mL Su
21-12-2025,Menemen,Simit,Labne Peyniri,Tahinli Pekmez,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Kremalı Tavuk Çorbası,Domates Çorbası,Kuru Fasulye Yemeği,Karışık Kızartma + Yoğurt,Bahar Pilavı,Cevizli Kadayıf,-,Çeyrek Ekmek,500 mL Su
22-12-2025,Zeytinli/Peynirli Açma,Haşlanmış Yumurta,Kaşar Peyniri,Bal + Tereyağı,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mısır Çorbası,Tel Şehriye Çorbası,Tavuk Izgara + Şakşuka,Taze Fasulye Yemeği,Yoğurtlu Makarna,Ege Salata,-,Çeyrek Ekmek,500 mL Su
09-02-2026,Peynirli Omlet,Çikolatalı Milföy Börek,Kaşar Peyniri,Domates-Salatalık-Havuç-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Şehriye Çorbası,Mısır Çorbası,Tavuk Çökertme,Karışık Sebze Kızartma,Yoğurtlu Makarna,Acılı Ezme,-,Çeyrek Ekmek,500 mL Su
10-02-2026,Patates Kızartması,Haşlanmış Yumurta,Beyaz Peynir,Sürülebilir Çikolata,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Ezogelin Çorbası,Cennet Çorbası,Et Sote,İmambayıldı,Şehriyeli Bulgur Pilavı,Ayran,-,Çeyrek Ekmek,500 mL Su
12-02-2026,Karışık Pizza,Haşlanmış Yumurta,Beyaz Peynir,Reçel Çeşitleri,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Mercimek Çorbası,Yayla Çorbası,Izgara Köfte,Karışık Kızartma,Spagetti Napoliten,Çiğköfte,-,Çeyrek Ekmek,500 mL Su
13-02-2026,Patatesli Yumurta,Simit,Kaşar Peyniri,Domates-Salatalk-Havuç-Yeşil,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Şehriye Çorbası,Brokoli Çorbası,Çıtır Tavuk + Patates Kızartması,Etsiz Mevsim Türlü,Domatesli Bulgur Pilavı,Ege Salata,-,Çeyrek Ekmek,500 mL Su
16-02-2026,Haşhaşlı Nokul,Haşlanmış Yumurta,Kaşar Peyniri,Sürülebilir Çikolata,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Ezogelin Çorbası,Yayla Çorbası,Domates Soslu Tavuk,Sebzeli Kabak Sandal,Salçalı Makarna,Rus Salatası,-,Çeyrek Ekmek,500 mL Su
17-02-2026,Sucuklu Yumurta,Sade Poğaça,Örgü Peyniri,Domates-Salatalık-Havuç-Yeşillik,Siyah/Yeşil Zeytin,Çeyrek Ekmek,500 mL Su,Çay/Bitki Çayı,Tarhana Çorbası,Mercimek Çorbası,Kuru Fasulye Yemeği,Karışık Kızartma,Şehriyeli Pirinç Pilavı,Karılık Salata,Yoğurt,Çeyrek Ekmek,500 mL Su
